tiempo,Susceptibles,Expuestos,Asintomáticos (I0),Modedados (I1),Severos (I2),Críticos (I3),Recuperados (R),Muertos (D),Muertes naturales(NR)
2020-04-12,1.3688216282091699,0.267637934894308,17165.6317095173,56234.449331729506,49443.057378506,17860.2645328973,129427.557813683,428.635754605076,476.786049595095
2020-04-14,1.14714100492627,0.22161218220149398,16276.3302865123,55281.5608699238,49608.6994282451,18140.6617942643,131998.560824455,446.496019137973,489.104844591689
2020-04-15,0.963207470832538,0.183876177043482,15433.0747272423,54330.2232959944,49747.060518807695,18410.5688791404,134550.234345086,464.636680932237,501.69780144402
2020-04-16,0.810289647975145,0.15286966248385098,14633.4856645391,53381.5218424025,49858.843858943204,18669.864005877098,137081.95178561198,483.04724981137804,514.563220550152
2020-04-17,0.6829103193208089,0.127338814171937,13875.3057762169,52436.45724002441,49944.7619749598,18918.4488548121,139593.130207479,501.71711381725504,527.699317230448
2020-04-18,0.576602664520181,0.10627350928466302,13156.3937044026,51495.950755822196,50005.534422474695,19156.247579725,142083.228487622,520.6355626720671,541.104227090515
2020-04-19,0.487715867064687,0.088857967322267,12474.7182406078,50560.848959338,50041.8856768451,19383.2058147079,144551.745549696,539.791810251792,554.7760111631981
2020-04-20,0.413259683078149,0.07443179819318499,11828.3527731777,49631.928231108206,50054.5431913051,19599.2896810479,146998.218660195,559.1750160665,568.712660837638
2020-04-21,0.350779844425693,0.062459175668302,11215.4699916473,48709.899025689294,50044.235612425895,19804.484798212,149422.221787255,578.7743057475479,582.9121025831311
2020-04-22,0.298257931506232,0.052504373927239,10634.336841054,47795.40990154901,50011.6911430754,19998.7953025557,151823.364019989,598.5787905457589,597.3722024752901
2020-04-24,0.25403071676307604,0.04421230184658099,10083.3097182525,46889.0513296035,49957.6360435945,20182.242876956898,154201.288046266,618.5775858483149,612.090770531728
2020-04-25,0.216725041334006,0.037292973893233,9560.829901626508,45991.3592917027,49882.7932624203,20354.8657941762,156555.668686896,638.759828725272,627.0655648642701
2020-04-26,0.18520511467445103,0.031509090407488,9065.41920521463,45102.8186798787,49787.881187874504,20516.7179763925,158886.211484257,659.114694519448,642.2942956544271
2020-04-27,0.158529773911059,0.026666080507657997,8595.67584808091,44223.8665066917,49673.6125133045,20667.8680730281,161192.651343457,679.631412495841,657.774628958652
2020-04-28,0.135917746942821,0.022604100479543,8150.270529733841,43354.8949365281,49540.6932082032,20808.398558683202,163474.75122418802,700.299280568869,673.504190349673
2020-04-29,0.116719362165453,0.01919158889002,7727.94270247192,42496.2541472464,49389.821588357,20938.4048527203,165732.300881477,721.107679127552,689.4805683999609
2020-05-02,0.100393462167798,0.016320064029547,7327.49703169386,41648.2550311084,49221.6874784684,21057.9944617924,167965.115653624,742.0460839802721,705.701318013199
2020-05-03,0.08648852734289501,0.013899915151793998,6947.80003542663,40811.1717435027,49036.97146107731,21167.2861463822,170173.03529565,763.104078442065,722.163963609391
2020-05-04,0.07462721237501099,0.011856990541517001,6587.7768945813705,39985.2441075427,48836.34420596559,21266.4091122123,172355.922856645,784.271364588447,738.866002169076
2020-05-05,0.064493655095387,0.010129825919004999,6246.408425730079,39170.679882218596,48620.465874565096,21355.502227201,174513.663599468,805.537773700659,755.8049061418919
2020-05-06,0.055823041864169004,0.008667388548463,5922.728208497299,38367.6569013948,48389.9855942117,21434.7132644681,176646.16396129603,826.8932759278599,772.978126224575
2020-05-08,0.048393013154095,0.0074272375579810005,5615.81985997052,37576.325090575,48145.540997393895,21504.1981717462,178753.350553566,848.327989192328,790.383094013275
2020-05-09,0.042016572636513004,0.006374020866923999,5324.81444884772,36796.8083680006,47887.7578214266,21564.1203674127,180835.16919992398,869.8321873640739,808.017224534921
2020-05-10,0.036536226919752,0.005478244888129,5048.88804235332,36029.2064363124,47617.249564257596,21614.650063238,182891.58401082398,891.396307731487,825.8779186621761
2020-05-11,0.031819134399464,0.004715265708942,4787.25937926428,35273.5964706838,47334.617192367004,21655.9636138332,184922.57649347698,913.0109577947251,843.9625654163871
2020-05-12,0.027753082999413,0.004064460443330999,4539.18766269125,34530.034709024105,47040.4488969651,21688.2428926862,186928.144695895,934.6669214085581,862.268544162746
2020-05-13,0.024243149922345,0.0035085454229179997,4303.97046655601,33798.557949564,46735.3198949213,21711.6746945842,188908.30238381,956.3551643012449,880.793226701773
2020-05-14,0.02120892348764,0.0030330142772079997,4080.94174999335,33079.184960853396,46419.792271074,21726.450164148002,190863.078249318,978.066838995829,899.5339792610409
2020-05-15,0.018582188969874,0.002625674071592,3869.4699741827703,32371.9178089406,46094.414858777694,21732.7642501333,192792.515150092,999.793289159977,918.488164390944
2020-05-16,0.016304998075673,0.0022762617847529995,3668.9563163824,31676.7431062508,45759.723155732194,21730.815185097,194696.66937810002,1021.52605341011,937.653142768194
2020-05-17,0.014328056106815,0.001976126718954,3478.83297619419,30993.6331864459,45416.2392723253,21720.8039899736,196575.609956761,1043.2568685952099,957.0262749105499
2020-05-18,0.01260937259542,0.0017179671085899998,3298.5615693349105,30322.5472093179,45064.4719098907,21702.934003065202,198429.417965533,1064.97767258518,976.6049228062179
2020-05-19,0.011113130774633998,0.0014956113521560003,3127.63160442333,29663.4321995587,44704.9163664438,21677.4104329086,200258.18589095198,1086.68060658825,996.386451461191
2020-05-20,0.009808739076292,0.001303836041803,2965.55903851815,29016.2240230434,44338.0545676134,21644.4399344528,202062.017003182,1108.35801702115,1016.36823036771
2020-05-22,0.008670034255802001,0.001138214383537,2811.88490735653,28380.8483040708,43964.3551206314,21604.2302079535,203841.024757158,1130.00245695561,1036.54763489688
2020-05-23,0.007674610999755,0.000994989754334,2666.17402644707,27757.2212868249,43584.2733893754,21556.9896199696,205595.33221744897,1151.60668716356,1056.9220476184598
2020-05-24,0.006803257187988001,0.000870970081217,2528.01375936666,27145.2506441443,43198.2515885943,21502.9268458296,207325.07150599,1173.16367678353,1077.48885955056
2020-05-25,0.006039477532213001,0.000763439492916,2397.01284979577,26544.8362365246,42806.718895559105,21442.250532924598,209030.38327187102,1194.66660362936,1098.24547134209
2020-05-26,0.005369091238285,0.000670084320051,2272.8003140036803,25955.8708241223,42410.0915775053,21375.1689841711,210711.41618237898,1216.10885416228,1119.18929439053
2020-05-27,0.004779891752357,0.0005889310313669999,2155.02439066304,25378.2407343805,42008.7731333302,21301.8898609867,212368.326434546,1237.48402314646,1140.31775189767
2020-05-29,0.004261358645047,0.0005182941127219999,2043.3515450329899,24811.826487757204,41603.1544481199,21222.6199051123,214001.277286458,1258.78591300744,1161.62827986562
2020-05-30,0.00380441333756,0.00045673223955499997,1937.4655247016199,24256.5033839042,41193.6139591666,21137.564678618997,215610.438607619,1280.00853291255,1183.11832803565
2020-05-31,0.003401211740624,0.00040301137626900006,1837.0664642229601,23712.1420505182,40780.517832236,21046.9283214371,217195.986447687,1301.1460975911698,1204.78536077196
2020-06-01,0.003044968011348,0.00035607366868900005,1741.87003612059,23178.608956968503,40364.2201469199,20950.9133257484,218758.102622905,1322.19302591261,1226.6268578928
2020-06-02,0.0027298045753880004,0.00031501118756,1651.60664586001,22655.766894689,39945.063089997006,20849.720326591498,220296.974319617,1343.14393923836,1248.64031545078
2020-06-03,0.00245062434577,0.000279043739389,1566.02066851529,22143.47542622,39523.3771557934,20743.5479080326,221812.793714228,1363.99365956495,1270.82324646474
2020-06-05,0.002203001722769,0.000247500091783,1484.8697249729198,21641.5913046796,39099.4813526091,20632.5924242681,223305.757609017,1384.7372074729801,1293.1731816049
2020-06-06,0.001983089503913,0.00021980206877100002,1407.92399562689,21149.968865350602,38673.6834143401,20517.0478350327,224776.067083248,1405.36979989725,1315.68766983332
2020-06-07,0.00178753928808,0.00019545106135799998,1334.96556962456,20668.460390978,38246.280016490295,20397.105554697,226223.92715899603,1425.8868477322799,1338.3642790014699
2020-06-08,0.001613433338045,0.00017401657306999996,1265.78782782319,20196.9164522852,37817.556995824,20272.9543144548,227649.54648117602,1446.28395328698,1361.2005964067
2020-06-09,0.0014582261842460002,0.000155126482132,1200.19485771188,19735.1862251346,37387.7895729671,20144.780037007902,229053.137011251,1466.5569076014401,1384.19422930931
2020-06-10,0.0013196945194930002,0.000138458753444,1138.000898644,19283.117785683102,36957.242577313504,20012.7657231749,230434.913734116,1486.70168763844,1407.34280541183
